제조사,모델,세부모델,제조사,모델,세부모델,세부모델,,,,,
현대,투싼,투싼 하이브리드 (4세대),현대,투싼,디 올 뉴 투싼 하이브리드 (NX4),K5 하이브리드 3세대,,F,디 올 뉴 투싼 하이브리드 (NX4),,
,,,,,,,,,,,
현대,투싼,올 뉴 투싼 TL,현대,투싼,올 뉴 투싼 TL,올 뉴 투싼,,F,올 뉴 투싼 TL,새로 추가,
,,,,,,,,,,,
현대,투싼,올 뉴 투싼,현대,투싼,올 뉴 투싼,올 뉴 투싼,,T,,,
,,,,,,,,,,,
현대,투싼,뉴 투싼 ix,현대,투싼,뉴 투싼 ix,뉴 투싼 ix,,T,,,
,,,,,,,,,,,
현대,투싼,투싼 ix,현대,투싼,투싼 ix,투싼 ix,,T,,,
,,,,,,,,,,,
현대,투싼,투싼,현대,투싼,투싼,투싼,,T,,,
,,,,,,,,,,,
현대,트라제 XG,트라제 XG,현대,트라제 XG,트라제 XG,트라제 XG,,T,,,
,,,,,,,,,,,
현대,팰리세이드,팰리세이드,현대,팰리세이드,팰리세이드,팰리세이드,,T,,,
,,,,,,,,,,,
현대,포레스트,포레스트,현대,포레스트,포레스트,프레스토,,F,포레스트,새로 추가,
,,,,,,,,,,,
현대,포터,포터2 일렉트릭,현대,포터,포터2 일렉트릭,포터2 일렉트릭,,T,,,
,,,,,,,,,,,
현대,포터,포터2 CRDi 특장,현대,포터,포터2,포터2 일렉트릭,,F,포터2,,
,,,,,,,,,,,
현대,포터,포터2 CRDi 카고,현대,포터,포터2,스타리아 카고,,F,포터2,,
,,,,,,,,,,,
현대,포터,포터2 터보인터쿨러 카고,현대,포터,포터2,포터2 일렉트릭,,F,포터2,,
,,,,,,,,,,,
현대,포터,뉴포터,현대,포터,뉴 포터,뉴 포터,,T,,,
,,,,,,,,,,,
제네시스,EQ900,EQ900,제네시스,EQ900,EQ900,EQ900,,T,,,
,,,,,,,,,,,
제네시스,G70,더 뉴 G70,제네시스,G70,더 뉴 G70,더 뉴 G70,,T,,,
,,,,,,,,,,,
제네시스,G70,G70,제네시스,G70,G70,G70,,T,,,
,,,,,,,,,,,
제네시스,G80,G80 (RG3) 일렉트리파이드,제네시스,G80,일렉트리파이드 G80 (RG3),G80 (RG3),,F,일렉트리파이드 G80 (RG3),,
,,,,,,,,,,,
제네시스,G80,G80 (RG3),제네시스,G80,G80 (RG3),G80 (RG3),,T,,,
,,,,,,,,,,,
제네시스,G80,G80,제네시스,G80,G80,G80,,T,,,
,,,,,,,,,,,
제네시스,G90,G90 (RS4),제네시스,G90,G90 (RS4),G90 (RS4),,T,,,
,,,,,,,,,,,
제네시스,G90,G90,제네시스,G90,G90,G90,,T,,,
,,,,,,,,,,,
제네시스,GV60,GV60,제네시스,GV60,GV60,GV60,,T,,,
,,,,,,,,,,,
제네시스,GV70,GV70,제네시스,GV70,GV70,GV70,,T,,,
,,,,,,,,,,,
제네시스,GV80,GV80,제네시스,GV80,GV80,GV80,,T,,,
,,,,,,,,,,,
기아,EV6,EV6,기아,EV6,EV6,EV6,,T,,,
,,,,,,,,,,,
기아,K3,더 뉴 K3 2세대,기아,K3,더 뉴 K3 2세대,더 뉴 K3 2세대,,T,,,
,,,,,,,,,,,
기아,K3,더 뉴 K3 GT 2세대,기아,K3,더 뉴 K3 GT 2세대,더 뉴 K3 GT 2세대,,T,,,
,,,,,,,,,,,
기아,K3,올 뉴 K3,기아,K3,올 뉴 K3,올 뉴 K3,,T,,더뉴K3,21~
,,,,,,,,,,더뉴K3_GT,21~
기아,K3,K3 GT,기아,K3,올 뉴 K3 GT,K3 쿱,,F,올 뉴 K3 GT,올뉴K3,18~
,,,,,,,,,,올뉴K3_GT,18~
기아,K3,더 뉴 K3 유로,기아,K3,더 뉴 K3 유로,더 뉴 K3 유로,,T,,K3,12~15
,,,,,,,,,,,
기아,K3,더 뉴 K3 쿱,기아,K3,더 뉴 K3 쿱,더 뉴 K3 쿱,,T,,,
,,,,,,,,,,,
기아,K3,더 뉴 K3,기아,K3,더 뉴 K3,더 뉴 K3,,T,,,
,,,,,,,,,,,
기아,K3,K3 유로,기아,K3,K3 유로,K3 유로,,T,,,
,,,,,,,,,,,
기아,K3,K3 쿱,기아,K3,K3 쿱,K3 쿱,,T,,,
,,,,,,,,,,,
기아,K3,K3,기아,K3,K3,K3,,T,,,
,,,,,,,,,,,
기아,K5,K5 3세대,기아,K5,K5 3세대,K5 3세대,,T,,,
,,,,,,,,,,,
기아,K5,K5 3세대 하이브리드,기아,K5,K5 하이브리드 3세대,K5 하이브리드,,F,K5 하이브리드 3세대,,
,,,,,,,,,,,
기아,K5,더 뉴 K5 하이브리드 2세대,기아,K5,더 뉴 K5 하이브리드 2세대,더 뉴 K5 하이브리드 2세대,,T,,,
,,,,,,,,,,,
기아,K5,더 뉴 K5 2세대,기아,K5,더 뉴 K5 2세대,더 뉴 K5 2세대,,T,,,
,,,,,,,,,,,
기아,K5,K5 하이브리드 2세대,기아,K5,K5 하이브리드 2세대,K5 하이브리드 2세대,,T,,,
,,,,,,,,,,,
기아,K5,K5 2세대,기아,K5,K5 2세대,K5 2세대,,T,,,
,,,,,,,,,,,
기아,K5,더 뉴 K5,기아,K5,더 뉴 K5,더 뉴 K5,,T,,,
,,,,,,,,,,,
기아,K5,K5 하이브리드,기아,K5,K5 하이브리드,K5 하이브리드,,T,,,
,,,,,,,,,,,
기아,K5,K5,기아,K5,K5,K5,,T,,,
,,,,,,,,,,,
기아,K7,K7 프리미어,기아,K7,K7 프리미어,K7 프리미어,,T,,,
,,,,,,,,,,,
기아,K7,K7 프리미어 하이브리드,기아,K7,K7 프리미어 하이브리드,K7 프리미어 하이브리드,,T,,,
,,,,,,,,,,,
기아,K7,올 뉴 K7 하이브리드,기아,K7,올 뉴 K7 하이브리드,올 뉴 K7 하이브리드,,T,,,
,,,,,,,,,,,
기아,K7,올 뉴 K7,기아,K7,올 뉴 K7,올 뉴 K7,,T,,,
,,,,,,,,,,,
기아,K7,K7 하이브리드,기아,K7,K7 하이브리드,K7 하이브리드,,T,,,
,,,,,,,,,,,
기아,K7,더 뉴 K7,기아,K7,더 뉴 K7,더 뉴 K7,,T,,,
,,,,,,,,,,,
기아,K7,더 프레스티지 K7,기아,K7,더 프레스티지 K7,더 프레스티지 K7,,T,,,
,,,,,,,,,,,
기아,K7,K7,기아,K7,K7,K7,,T,,,
,,,,,,,,,,,
기아,K8,K8 하이브리드,기아,K8,K8 하이브리드,K8 하이브리드,,T,,,
,,,,,,,,,,,
기아,K8,K8,기아,K8,K8,K8,,T,,,
,,,,,,,,,,,
기아,K9,더 뉴 K9 2세대,기아,K9,더 뉴 K9 2세대,더 뉴 K9 2세대,,T,,,
,,,,,,,,,,,
기아,K9,더 K9,기아,K9,더 K9,더 K9,,T,,,
,,,,,,,,,,,
기아,K9,더 뉴 K9,기아,K9,더 뉴 K9,더 뉴 K9,,T,,,
,,,,,,,,,,,
기아,K9,K9,기아,K9,K9,K9,,T,,,
,,,,,,,,,,,
기아,X-TREK,X-TREK,기아,X-TREK,X-TREK,X-TREK,,T,,,
,,,,,,,,,,,
기아,그랜버드,그랜버드,기아,그랜버드,그랜버드,그랜저,,F,그랜버드,,
,,,,,,,,,,,
기아,니로,더 뉴 니로,기아,니로,더 뉴 니로,더 뉴 니로,,T,,,
,,,,,,,,,,,
기아,니로,더 뉴 니로 플러그인 하이브리브,기아,니로,더 뉴 니로,더 뉴 그랜저 IG 하이브리드,,F,더 뉴 니로,,
,,,,,,,,,,,
기아,니로,니로 EV,기아,니로,니로 EV,니로 EV,,T,,,
,,,,,,,,,,,
기아,니로,니로 플러그인 하이브리드,기아,니로,니로,더 뉴 코나 하이브리드,,F,니로,,
,,,,,,,,,,,
기아,니로,니로,기아,니로,니로,니로,,T,,,
,,,,,,,,,,,
기아,레이,더 뉴 레이,기아,레이,더 뉴 레이,더 뉴 레이,,T,,,
,,,,,,,,,,,
기아,레이,레이 EV,기아,레이,레이,레이,,F,레이,추가,
,,,,,,,,,,,
기아,레이,레이,기아,레이,레이,레이,,T,,,
,,,,,,,,,,,
기아,로체,로체 이노베이션,기아,로체,로체 이노베이션,로체 이노베이션,,T,,,
,,,,,,,,,,,
기아,로체,로체 어드밴스,기아,로체,로체 어드밴스,로체 어드밴스,,T,,,
,,,,,,,,,,,
기아,로체,로체,기아,로체,로체,로체,,T,,,
,,,,,,,,,,,
기아,모닝,모닝 어반,기아,모닝,모닝 어반,모닝 어반,,T,,,
,,,,,,,,,,,
기아,모닝,올 뉴 모닝 (JA),기아,모닝,올 뉴 모닝 (JA),올 뉴 모닝 (JA),,T,,,
,,,,,,,,,,,
기아,모닝,더 뉴 모닝,기아,모닝,더 뉴 모닝,더 뉴 모닝,,T,,,
,,,,,,,,,,,
기아,모닝,올 뉴 모닝,기아,모닝,올 뉴 모닝,올 뉴 모닝,,T,,,
,,,,,,,,,,,
기아,모닝,뉴모닝,기아,모닝,뉴모닝,뉴모닝,,T,,,
,,,,,,,,,,,
기아,모닝,모닝,기아,모닝,모닝,모닝,,T,,,
,,,,,,,,,,,
기아,모하비,모하비 더 마스터,기아,모하비,모하비 더 마스터,모하비 더 마스터,,T,,,
,,,,,,,,,,,
기아,모하비,더 뉴 모하비,기아,모하비,더 뉴 모하비,더 뉴 모하비,,T,,,
,,,,,,,,,,,
기아,모하비,모하비,기아,모하비,모하비,모하비,,T,,,
,,,,,,,,,,,
기아,봉고III,봉고III 미니버스,기아,봉고3 미니버스,봉고3 미니버스,봉고3 미니버스,,F,,,
,,,,,,,,,,,
기아,봉고III,봉고III 트럭,기아,봉고,봉고3,봉고프론티어,,F,봉고3,,
,,,,,,,,,,,
기아,봉고III,봉고프론티어,기아,봉고,봉고프론티어,봉고프론티어,,T,,,
,,,,,,,,,,,
기아,봉고III 트럭,더 뉴 봉고III 트럭 CRDi 카고,기아,봉고,더 뉴 봉고3,더 뉴 봉고3 EV,,F,더 뉴 봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,더 뉴 봉고III 트럭 EV,기아,봉고,더 뉴 봉고3,더 뉴 봉고3 EV,,F,,,
,,,,,,,,,,,
기아,봉고III 트럭,더 뉴 봉고III 트럭 LPi 카고,기아,봉고,더 뉴 봉고3,더 뉴 봉고3 EV,,F,더 뉴 봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,더 뉴 봉고III 트럭 LPi 특장,기아,봉고,더 뉴 봉고3,더 뉴 봉고3 EV,,F,더 뉴 봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,더 뉴 봉고III 트럭 특장,기아,봉고,더 뉴 봉고3,더 뉴 봉고3 EV,,F,더 뉴 봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,봉고III 트럭 LPi 카고,기아,봉고,봉고3,스타리아 카고,,F,봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,봉고III 트럭 CRDi 카고,기아,봉고,봉고3,스타리아 카고,,F,봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,봉고III 트럭 터보인터쿨러(Tci) 카고,기아,봉고,봉고3,벨로스터 (JS),,F,봉고3,,
,,,,,,,,,,,
기아,봉고III 트럭,봉고III 트럭 특장,기아,봉고,봉고3,봉고프론티어,,F,봉고3,,
,,,,,,,,,,,
기아,비스토,비스토,기아,비스토,비스토,비스토,,T,,,
,,,,,,,,,,,
기아,셀토스,셀토스,기아,셀토스,셀토스,셀토스,,T,,,
,,,,,,,,,,,
기아,스토닉,스토닉,기아,스토닉,스토닉,스토닉,,T,,,
,,,,,,,,,,,
기아,스팅어,스팅어 마이스터,기아,스팅어,스팅어 마이스터,스팅어 마이스터,,T,,,
,,,,,,,,,,,
기아,스팅어,스팅어,기아,스팅어,스팅어,스팅어,,T,,,
,,,,,,,,,,,
기아,스펙트라,스펙트라,기아,스펙트라,스펙트라,스펙트라,,T,,,
,,,,,,,,,,,
기아,스포티지,디 올 뉴 스포티지,기아,스포티지,디 올 뉴 스포티지,디 올 뉴 스포티지,,T,,,
,,,,,,,,,,,
기아,스포티지,디 올 뉴 스포티지 하이브리드,기아,스포티지,디 올 뉴 스포티지 하이브리드,디 올 뉴 스포티지 하이브리드,,T,,,
,,,,,,,,,,,
기아,스포티지,스포티지 더 볼드,기아,스포티지,스포티지 더 볼드,스포티지 더 볼드,,T,,,
,,,,,,,,,,,
기아,스포티지,스포티지 4세대,기아,스포티지,스포티지 4세대,스포티지 4세대,,T,,,
,,,,,,,,,,,
기아,스포티지,더 뉴 스포티지 R,기아,스포티지,더 뉴 스포티지 R,더 뉴 스포티지 R,,T,,,
,,,,,,,,,,,
기아,스포티지,스포티지 R,기아,스포티지,스포티지 R,스포티지 R,,T,,,
,,,,,,,,,,,
